https://en.wikipedia.org/wiki/User:There%27sNoTime/ACE2018_Guide	https://en.wikipedia.org/wiki/User:Carrite/ACE2018	https://en.wikipedia.org/wiki/User:Guerillero/ACE2018	https://en.wikipedia.org/wiki/User:Elonka/ACE2018	https://en.wikipedia.org/wiki/User:Boing!_said_Zebedee/ACE2018	https://en.wikipedia.org/wiki/User:Ealdgyth/2018_Arb_Election_votes	https://en.wikipedia.org/wiki/User:Collect/ACE2018	https://en.wikipedia.org/wiki/User:Gerda_Arendt/ACE_2018	https://en.wikipedia.org/wiki/User:Barkeep49/ACE2018	0	https://genderdesk.wordpress.com/2018/11/15/arbcom-2018-the-candidates/
1	1	1	1	0	1	0	0	1	0
0	-1	1	1	0	0	0	0	1	0
1	-1	0	1	0	-1	0	0	1	0
1	1	1	1	1	-1	0	0	1	0
-1	-1	-1	-1	0	-1	0	0	-1	0
1	-1	1	1	1	-1	0	0	1	0
1	-1	0	-1	1	-1	0	0	0	0
1	-1	-1	-1	1	1	0	0	1	0
0	1	1	0	0	-1	0	0	0	0
-1	-1	-1	1	0	0	0	0	1	0
1	1	0	1	0	1	0	0	1	0
1	1	-1	-1	1	-1	0	0	1	0
0	1	1	1	1	1	0	0	1	0
